country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-05-19 10:00:00,16.554731,80.64911,SO2,20.0,23.0,21.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-05-19 10:00:00,16.554731,80.64911,OZONE,17.0,35.0,22.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-05-19 10:00:00,17.72,83.3,PM10,23.0,66.0,36.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2025-05-19 10:00:00,27.103358,93.679645,NO2,4.0,5.0,5.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2025-05-19 10:00:00,27.103358,93.679645,CO,10.0,19.0,12.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2025-05-19 10:00:00,27.103358,93.679645,OZONE,4.0,4.0,4.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-05-19 10:00:00,26.071318,91.87488,PM10,83.0,109.0,90.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-05-19 10:00:00,26.2028636,91.70046436,PM2.5,16.0,35.0,26.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-05-19 10:00:00,26.10887,91.589544,PM2.5,17.0,120.0,46.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2025-05-19 10:00:00,26.1403345,85.3650192,NH3,1.0,3.0,2.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2025-05-19 10:00:00,26.1403345,85.3650192,OZONE,5.0,68.0,23.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2025-05-19 10:00:00,26.1209,85.3647,SO2,4.0,6.0,5.0
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-05-19 10:00:00,25.586562,85.043586,SO2,4.0,9.0,6.0
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-05-19 10:00:00,25.586562,85.043586,CO,31.0,56.0,34.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-05-19 10:00:00,25.592539,85.227158,NH3,2.0,2.0,2.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-05-19 10:00:00,25.592539,85.227158,CO,30.0,94.0,39.0
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2025-05-19 10:00:00,25.610369,85.132568,PM2.5,37.0,133.0,77.0
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-05-19 10:00:00,25.619651,85.147382,NO2,22.0,188.0,53.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-05-19 10:00:00,13.20488,79.097889,NH3,5.0,5.0,5.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-05-19 10:00:00,13.20488,79.097889,SO2,10.0,11.0,10.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-05-19 10:00:00,13.20488,79.097889,CO,28.0,59.0,49.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-05-19 10:00:00,14.465052,78.824187,CO,24.0,25.0,25.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-19 10:00:00,16.9872867,81.7363176,PM10,16.0,65.0,36.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-19 10:00:00,16.9872867,81.7363176,CO,8.0,40.0,24.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",2025-05-19 10:00:00,13.67,79.35,NO2,12.0,25.0,17.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-19 10:00:00,13.615387,79.40923,NO2,5.0,13.0,8.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-19 10:00:00,13.615387,79.40923,CO,15.0,23.0,18.0
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2025-05-19 10:00:00,16.486692,80.699436,OZONE,20.0,28.0,21.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-05-19 10:00:00,16.509717,80.612222,CO,32.0,42.0,41.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-05-19 10:00:00,16.509717,80.612222,OZONE,13.0,39.0,15.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-05-19 10:00:00,16.554731,80.64911,PM2.5,32.0,57.0,45.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-05-19 10:00:00,16.554731,80.64911,PM10,37.0,59.0,48.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-05-19 10:00:00,16.554731,80.64911,NO2,20.0,24.0,21.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-05-19 10:00:00,26.1875,91.744194,PM10,8.0,23.0,14.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-05-19 10:00:00,26.446912,91.439057,PM10,10.0,41.0,24.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-05-19 10:00:00,26.446912,91.439057,NO2,1.0,7.0,3.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2025-05-19 10:00:00,24.82827,92.79525,PM10,46.0,67.0,60.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2025-05-19 10:00:00,24.82827,92.79525,NH3,1.0,1.0,1.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-05-19 10:00:00,26.987634,94.636574,PM10,19.0,32.0,25.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-05-19 10:00:00,26.987634,94.636574,NO2,20.0,32.0,22.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-05-19 10:00:00,26.987634,94.636574,CO,10.0,27.0,19.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-05-19 10:00:00,24.792403,84.992416,NH3,3.0,7.0,5.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-05-19 10:00:00,24.792403,84.992416,SO2,10.0,18.0,15.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2025-05-19 10:00:00,24.762518,84.982348,NO2,16.0,19.0,18.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2025-05-19 10:00:00,25.697189,85.2459,PM10,29.0,71.0,54.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2025-05-19 10:00:00,25.697189,85.2459,OZONE,66.0,146.0,76.0
